"","name","address","rating","lon","lat","subway","subway_dist","busstop","busstop_dist","href"
"145","Семишагофф","Заневский просп., 45, Санкт-Петербург, Россия",4.3,"30.422795","59.930665","Новочеркасская",610,"Заневский проспект, 32",200,"https://yandex.ru/maps/org/semishagoff/202943752255/"
"146","Азбука вкуса","Выборгское ш., 13, Санкт-Петербург, Россия • этаж 1",4.3,"30.314295","60.04879","Проспект Просвещения",NA,"ТК Лента",260,"https://yandex.ru/maps/org/azbuka_vkusa/1199664841/"
"147","ВкусВилл","Большой просп. Петроградской стороны, 102, Санкт-Петербург, Россия",4.3,"30.31329","59.966975","Петроградская",220,"Станция метро Петроградская",43,"https://yandex.ru/maps/org/vkusvill/8041672948/"
"148","Калининская овощебаза","просп. Непокорённых, 63, корп. 13, стр. 1, Санкт-Петербург, Россия",4.3,"30.402897","59.993214","Площадь Мужества",NA,"Печорская улица",450,"https://yandex.ru/maps/org/kalininskaya_ovoshchebaza/67550773614/"
"149","ВкусВилл","Байконурская ул., 22, Санкт-Петербург, Россия",4.1,"30.277393","60.011163","Комендантский проспект",NA,"Байконурская улица",200,"https://yandex.ru/maps/org/vkusvill/78274109358/"
"150","Колхоз","Гражданский просп., 107, корп. 4, Санкт-Петербург, Россия",4.5,"30.414391","60.028376","Гражданский проспект",870,"Гражданский проспект, 110",290,"https://yandex.ru/maps/org/kolkhoz/2194062028/"
"151","ВкусВилл","ул. Фёдора Абрамова, 21, корп. 1, посёлок Парголово, Россия",4.5,"30.344399","60.080142","Парнас",NA,"Улица Фёдора Абрамова,18",110,"https://yandex.ru/maps/org/vkusvill/42685034296/"
"152","Ферма-сыроварня Деревня","ул. Оптиков, 34, корп. 1, Санкт-Петербург, Россия • ЖК Легенда",4.8,"30.215679","59.999938","Беговая",NA,"Туристская улица",330,"https://yandex.ru/maps/org/ferma_syrovarnya_derevnya/74296287290/"
"153","Магазин продуктов","просп. Культуры, 19А, Санкт-Петербург, Россия",4.4,"30.373039","60.042889","Проспект Просвещения",NA,"Проспект Просвещения",260,"https://yandex.ru/maps/org/magazin_produktov/238998592912/"
"154","Градусы","Воронцовский бул., 11, корп. 1, посёлок Бугры, Россия",3.9,"30.421009","60.058633","Девяткино",NA,"Петровский бульвар",130,"https://yandex.ru/maps/org/gradusy/41597551388/"
"155","ВкусВилл","Яхтенная ул., 34, Санкт-Петербург, Россия",4.5,"30.223439","60.004663","Комендантский проспект",NA,"Богатырский проспект",55,"https://yandex.ru/maps/org/vkusvill/20715916154/"
"156","Реалъ","бул. Менделеева, 7, корп. 2, Мурино, Россия • этаж 1",4.2,"30.431759","60.052234","Девяткино",670,"Брачнев ручей",150,"https://yandex.ru/maps/org/real/1566713879/"
"157","Народный","ул. Хошимина, 14, Санкт-Петербург, Россия",4,"30.323748","60.052935","Проспект Просвещения",620,"Станция метро Проспект Просвещения",270,"https://yandex.ru/maps/org/narodny/90172765344/"
"158","Градусы","Лесной просп., 59к5-6Е, Санкт-Петербург, Россия",4.2,"30.344982","59.98241","Лесная",400,"Улица Александра Матросова",130,"https://yandex.ru/maps/org/gradusy/73673982066/"
"159","Продукты","Воронцовский бул., 11, корп. 1, посёлок Бугры, Россия",3.6,"30.420763","60.058368","Девяткино",NA,"Петровский бульвар",150,"https://yandex.ru/maps/org/produkty/104737448988/"
"160","Верный","Воронцовский бул., 12, Мурино, Россия • помещение 37-Н, 40-Н",3.7,"30.422425","60.057941","Девяткино",NA,"Воронцовский бульвар",140,"https://yandex.ru/maps/org/verny/21529344264/"
"161","Продукты Халяль","ул. Шувалова, 16/9, Мурино, Россия",3.7,"30.429239","60.056916","Девяткино",NA,"Петровский бульвар",130,"https://yandex.ru/maps/org/produkty_khalyal/224556955102/"
"162","Градусы","просп. Художников, 14, Санкт-Петербург, Россия",4.2,"30.344632","60.038533","Озерки",NA,"Проспект Луначарского",200,"https://yandex.ru/maps/org/gradusy/1751637912/"
"163","ВкусВилл","ул. Восстания, 19, Санкт-Петербург, Россия",4.2,"30.360604","59.935412","Площадь Восстания",440,"Ковенский переулок",210,"https://yandex.ru/maps/org/vkusvill/18012388149/"
"164","Светофор","ул. Композиторов, 32, Санкт-Петербург, Россия",4,"30.319697","60.064625","Проспект Просвещения",2000,"Улица Композиторов",170,"https://yandex.ru/maps/org/svetofor/177435463690/"
"165","Organic Origin","Сытнинская площадь, 3, Санкт-Петербург, Россия",4.4,"30.31103","59.957162","Горьковская",510,"Сытный рынок",86,"https://yandex.ru/maps/org/organic_origin/235341918060/"
"166","Супер Лента","Гражданский просп., 111, Санкт-Петербург, Россия",4.2,"30.415119","60.029287","Гражданский проспект",750,"Гражданский проспект, 110",170,"https://yandex.ru/maps/org/super_lenta/1755278896/"
"167","Градусы","Стародеревенская ул., 6, корп. 1, Санкт-Петербург, Россия",4.3,"30.242045","59.986668","Старая Деревня",NA,"Стародеревенская улица",260,"https://yandex.ru/maps/org/gradusy/6149564092/"
"168","Градусы","просп. Наставников, 19, Санкт-Петербург, Россия",4.3,"30.491443","59.944253","Проспект Большевиков",NA,"Проспект Наставников",120,"https://yandex.ru/maps/org/gradusy/184206599027/"
